Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1991	Jenapur	429.043552196591	1507.3102646584	1271.6848293	1092.6377914	1154.3814144695	783.5726310695	42	15	39	15	33	15	34	15	24	9	569.72708	437.68883	246.39802	569.72708	437.68883	246.39802	569.72708	437.68883	246.39802	569.72708	437.68883	246.39802	351.17298	325.07479	133.78398	569.72708	322.04835	246.39802	569.72708	322.04835	246.39802	569.72708	352.43027	246.39802	351.17298	239.81623	133.78398	25.7568373565566	27.977093233871	27.3509038673835	26.9016298536626	26.5929633532706	872.73718681413	6.77163446448423	1374.17395681413	7.22560807089224	5040.19	3.34383047616428	0.098478294099964
1992	Jenapur	273.082660862513	1166.0489053885	983.6300397205	837.003624335	880.83444013234	560.25583693234	43	10	39	10	34	10	35	10	23	4	300.38307	99.45906	0	300.38307	99.45906	0	300.38307	99.45906	0	300.38307	99.45906	0	152.90659	40.06793	0	180.06668	70.72447	0	180.06668	70.72447	0	180.06668	70.72447	0	93.46719	40.06793	0	25.6333918792119	28.1711780295699	27.4294117060932	27.1008526076949	26.7811070253136	914.007895038131	6.81783920931414	1423.07593503813	7.26057595930711	5041.31	4.32341214566841	0.127327702714428
1993	Jenapur	375.708294488257	1443.31730056508	1193.32800558	933.88219508	1024.85022217	713.17593767	55	16	53	16	43	11	43	11	31	6	455.53354	202.95884	0	455.53354	202.95884	0	334.08711	145.80286	0	334.08711	145.80286	0	182.14508	68.78723	0	327.83495	145.80286	0	247.35067	145.80286	0	270.67897	145.80286	0	162.39631	68.78723	0	25.6430933400626	27.9596476209677	27.448161827957	27.1941826209677	26.8415369354839	953.217779461196	6.85984339744383	1469.9170894612	7.29296127645507	5352.33	3.70835297124512	0.109213752650423
1994	Jenapur	1045.43701425266	1805.6171367419	1597.29402852	1239.77524842	1318.4058521727	785.7819510727	67	26	64	26	49	21	51	21	32	11	841.45321	544.27351	100.50936	841.45321	544.27351	100.50936	674.51613	402.88553	100.50936	674.51613	402.88553	100.50936	336.85029	154.83076	0	716.47868	485.91293	0	503.86037	344.52495	0	549.5416	344.52495	0	275.79759	125.88183	0	25.524001003302	27.4565298252688	26.8386218781362	26.5876547679771	26.4717728089158	1031.18199778291	6.93846099393081	1555.51257778291	7.34956040231137	5352.64	2.96443797030994	0.0873049026744202
1995	Jenapur	664.699986362802	1485.2025656331	1011.39744814	894.6608928	990.0254457692	683.9572330692	46	17	35	12	31	12	32	12	21	8	552.78491	363.06624	0	364.40803	195.5181	0	344.44732	195.5181	0	344.44732	195.5181	0	233.53275	149.38697	0	243.13984	167.08339	0	243.13984	167.08339	0	243.13984	167.08339	0	172.95729	120.95226	0	25.4872082445401	28.3959365833333	27.5372441111111	27.0984576927083	26.8805250956541	1065.42421220161	6.97112832015072	1597.38606220161	7.37612386114261	5352.64	3.6039797693982	0.106139884240854
1996	Jenapur	876.539200642609	1272.190359293	1093.44463235	784.4863536	826.42245004	504.36423404	32	14	31	13	26	10	26	10	18	4	531.49382	410.51677	138.8584	490.9759	369.99885	138.8584	306.07555	185.0985	0	306.07555	185.0985	0	114.39327	70.12125	0	469.68951	312.07926	138.8584	261.80353	127.17891	0	284.78916	127.17891	0	114.39327	40.86457	0	25.9608930884992	28.2447996774194	27.7456947921147	27.296541015961	27.0874382363351	1117.37866486731	7.01874074329283	1656.97178486731	7.41274698944049	5352.64	4.20742065910219	0.123911667180156
1997	Jenapur	958.47001959479	1548.92016663078	1267.7914549	1015.019297	1083.90857993	803.30303413	45	15	42	15	37	11	37	11	26	9	568.6987	379.47125	204.08264	568.6987	379.47125	204.08264	407.59278	268.27245	134.58225	407.59278	268.27245	134.58225	335.40289	238.31674	134.58225	504.84624	349.51554	204.08264	343.74032	238.31674	134.58225	366.01518	238.31674	134.58225	335.40289	238.31674	134.58225	25.6678600072816	28.3480761397849	27.5025668530466	27.0761568585349	26.8125800049283	1182.45731121264	7.07535001926003	1729.68170121264	7.45569268282565	5352.64	3.45572361656514	0.101773630292008
1998	Jenapur	826.997440001233	1413.7064387726	916.49318846	774.0143616	922.676175334	659.138434334	44	10	32	9	27	7	31	7	21	5	303.53522	81.5001	0	282.30213	81.5001	0	233.52743	81.5001	0	233.52743	81.5001	0	167.60896	81.5001	0	180.21876	81.5001	0	131.44406	81.5001	0	131.44406	81.5001	0	127.35375	81.5001	0	26.0349913821025	29.0522262876344	28.0587011612903	27.8097136053427	27.6313079254032	1231.4832247928	7.11597459569989	1786.3388847928	7.48792348856186	5353.05	3.78653577092539	0.111516294240182
1999	Jenapur	1146.31348324573	1704.483247931	1250.23414867	1008.312355	1236.861424315	930.550060315	62	23	48	17	38	14	44	17	34	13	734.1312	480.54619	106.01075	515.27931	288.28581	49.7041	431.67907	248.20112	49.7041	559.54854	376.07059	106.01075	435.17385	273.63714	106.01075	411.78549	230.47377	0	325.71208	190.38908	0	476.77243	318.25855	56.30665	374.33898	273.63714	106.01075	25.9696358086702	27.8793911693548	27.3574490035842	27.0623584714382	26.8501280694444	1257.3953724793	7.13679769571258	1819.8823024793	7.50652710901229	5353.05	3.14057061370233	0.0924921400000686
2000	Jenapur	NA	1216.5486551699	1046.5099525	849.7636618	885.735415848	517.059085048	39	12	37	12	30	11	30	11	17	5	410.89246	232.18091	51.99113	410.89246	232.18091	51.99113	370.8206	232.18091	51.99113	370.8206	232.18091	51.99113	135.90558	65.3885	0	330.01709	232.18091	0	306.84438	232.18091	0	330.01709	232.18091	51.99113	114.98598	65.3885	0	25.8740186222095	27.9976039274194	27.5614213476703	27.3669109326277	27.3029808133961	1184.45305636723	7.07703639121132	1754.57125636723	7.46997980768801	5353.05	4.40019392340079	0.129588983165978
