Year	Station	Annual_DIN_flux	precip	precip_JJAS	precip_JAS	precip_JASO	precip_ASO	pre_gt_10	pre_gt_20	pre_gt_10_JJAS	pre_gt_20_JJAS	pre_gt_10_JAS	pre_gt_20_JAS	pre_gt_10_JASO	pre_gt_20_JASO	pre_gt_10_ASO	pre_gt_20_ASO	R90pTOT	R95pTOT	R99pTOT	R90pTOT_JJAS_1	R95pTOT_JJAS_1	R99pTOT_JJAS_1	R90pTOT_JAS_1	R95pTOT_JAS_1	R99pTOT_JAS_1	R90pTOT_JASO_1	R95pTOT_JASO_1	R99pTOT_JASO_1	R90pTOT_ASO_1	R95pTOT_ASO_1	R99pTOT_ASO_1	R90pTOT_JJAS_2	R95pTOT_JJAS_2	R99pTOT_JJAS_2	R90pTOT_JAS_2	R95pTOT_JAS_2	R99pTOT_JAS_2	R90pTOT_JASO_2	R95pTOT_JASO_2	R99pTOT_JASO_2	R90pTOT_ASO_2	R95pTOT_ASO_2	R99pTOT_ASO_2	temp_annual	temp_JJAS	temp_JAS	temp_JASO	temp_ASO	fert_kgN_km2	ln_fert	fert_dep_kgN_km2	ln_fert_dep	LSC_MCM	LSC_MCM_mm	LSC
1990	Urachikottai	23.8122298368994	642.674600930548	283.92812656	237.96938396	350.964071184	290.172149564	9	1	2	0	2	0	6	0	6	0	88.52228	60.48925	26.87557	28.03303	0	0	28.03303	0	0	44.46102	16.42799	0	44.46102	16.42799	0	28.03303	15.25878	0	28.03303	0	0	31.68677	0	0	31.68677	0	0	24.0728288418627	23.9330986989247	23.7643167096774	23.8126549541331	23.875017250672	2535.85966852398	7.83828797827051	2817.61541117646	7.94364620733816	7829.47	12.1826348647721	0.276250223690978
1991	Urachikottai	62.8054497998184	1132.7293120247	572.51040908	366.66865858	623.78226568	499.55460038	24	9	13	6	9	4	14	6	11	5	449.859	382.81431	238.91149	209.01193	185.12525	79.87721	132.48454	108.59786	27.24281	268.95878	229.06936	147.71431	235.20363	207.40861	147.71431	243.48899	185.12525	79.87721	132.48454	108.59786	27.24281	245.0721	212.84682	147.71431	223.41135	191.18607	120.4715	24.1971976690144	23.8729580241936	23.6051303655914	23.6499054304435	23.7299844448925	2551.42895649034	7.84440885629523	2838.69999654955	7.95110147866297	7829.47	6.91203972289299	0.156735594623424
1992	Urachikottai	104.572774873884	930.712015717757	564.8425531	377.5688821	519.12413871	384.04410981	27	2	18	2	10	1	13	1	11	0	298.58235	180.4934	31.42927	195.51264	89.15821	31.42927	118.22414	50.39524	31.42927	155.20844	87.37954	31.42927	123.77917	55.95027	0	207.23426	89.15821	31.42927	129.94576	50.39524	31.42927	143.40257	87.37954	31.42927	99.03855	37.81676	0	23.9965750054883	24.1241681854839	23.8467666917563	23.8075114250672	23.8170030828853	2672.08301089355	7.89061360112515	2964.8693483595	7.99458824582672	7835.93	8.41928530809501	0.190913499049773
1993	Urachikottai	88.801527969914	888.40918085258	405.8164188	294.00325826	531.87109228	447.92270388	21	3	9	1	4	1	14	2	14	2	252.97185	166.33397	31.73867	117.2973	75.80593	0	54.53096	41.50802	0	158.46684	100.29739	0	158.46684	100.29739	0	117.2973	75.80593	0	54.53096	41.50802	0	158.46684	100.29739	0	145.4439	83.04188	0	24.0543817216506	24.1378645833333	23.8350223333333	23.780434875	23.7323382204301	2786.71228991263	7.93261778925484	3085.01392478532	8.03431145003605	7865.97	8.85399449885385	0.200770850314146
1994	Urachikottai	197.691849448468	959.516238929	395.64814808	320.44451598	603.31642898	437.19548258	26	5	6	2	5	2	17	4	13	3	333.42506	175.66989	58.3687	102.89574	64.21629	26.98091	90.82283	64.21629	26.98091	220.26552	153.99725	58.3687	156.4236	116.76187	58.3687	102.89574	64.21629	26.98091	90.82283	64.21629	26.98091	208.41738	153.99725	58.3687	130.75785	116.76187	31.38779	23.9981802898172	24.0242774704301	23.8374127383513	23.8404770537634	23.9615534910394	3014.63905549747	8.01123538574181	3318.45598777689	8.10725488981215	7865.97	8.19784979228689	0.185892285539385
1995	Urachikottai	139.25390856871	807.69145282641	469.45911614	399.0683614	537.5165094	381.1933292	18	1	10	0	10	0	14	1	10	1	163.47545	58.21391	0	101.09568	34.76874	0	101.09568	34.76874	0	138.494	58.21391	0	78.12813	23.44517	0	101.09568	34.76874	0	101.09568	34.76874	0	126.72894	41.88823	0	51.39328	23.44517	0	24.0705278154759	24.2111759032258	23.7438066487455	23.7677697521841	23.8315094545251	3114.74545490639	8.04390271196172	3424.07768459255	8.13858742526143	7865.97	9.73883030763056	0.22083515436804
1996	Urachikottai	129.738632221648	930.04248193239	539.976568354	389.902058464	553.276164586	477.503315322	20	7	14	4	11	2	15	5	15	5	312.40734	219.48037	57.86964	200.40169	146.98735	31.33631	148.75341	95.33907	0	233.40143	167.83209	26.53333	233.40143	167.83209	26.53333	200.40169	146.98735	31.33631	148.75341	95.33907	0	196.24016	134.71806	0	196.24016	117.06357	0	23.838959419322	23.7900410806452	23.5202758853047	23.4090202733535	23.2742735902778	3266.63321327469	8.09151513510384	3581.48074036759	8.18353160850761	7869	8.46090383274776	0.191857229767523
1997	Urachikottai	204.638218372728	1059.5737589449	546.61554825	463.77433122	641.37531897	482.90722397	23	4	12	1	11	1	17	3	13	3	301.1055	177.23541	0	116.27598	59.46806	0	116.27598	59.46806	0	221.2091	137.62198	0	192.47801	137.62198	0	127.43441	91.38007	0	116.27598	91.38007	0	209.2428	137.62198	0	153.73251	85.3796	0	24.3620922021365	24.6785482822581	24.2095699318996	24.2427979176747	24.2525848579749	3456.88927803665	8.14812441107103	3777.25210253629	8.23675206725128	7869	7.42657123543318	0.168402975860163
1998	Urachikottai	249.420212399567	938.41897820697	572.049649152	513.2993368	652.799459921	465.189381321	21	4	15	4	14	4	17	4	12	2	255.08543	150.30053	27.43863	200.81126	132.47257	27.43863	200.81126	132.47257	27.43863	224.72136	132.47257	27.43863	134.39347	67.85852	27.43863	212.02699	148.23344	27.43863	200.81126	148.23344	27.43863	188.44428	132.47257	27.43863	83.61939	67.85852	0	24.7091041724977	24.5902238655914	24.0461171541219	23.9192147405914	23.827355030466	3600.21551349067	8.18874898751089	3926.09363539704	8.27540022462766	7869	8.38538028614387	0.190144677690337
1999	Urachikottai	217.911806917363	990.208664899608	344.90417678	280.0682714	636.7809434	531.29227319	25	6	5	1	4	1	19	5	18	5	382.33936	252.22089	27.701	71.43064	44.67582	27.701	71.43064	44.67582	27.701	313.35931	212.86079	27.701	296.38449	195.88597	27.701	82.83589	44.67582	27.701	71.43064	44.67582	27.701	300.96913	179.01776	27.701	283.99431	179.01776	0	24.1425417974188	24.3078100134409	24.2420532401434	24.1677728988575	24.2177204242832	3675.96913661006	8.20957208752359	4007.36255592317	8.29588858718269	7869	7.94680987849949	0.180199770487517
2000	Urachikottai	340.010917770128	1020.36689849008	571.045252548	488.032755748	707.073346153	639.137891905	25	12	13	5	12	5	19	10	18	10	446.84062	348.18516	99.57615	225.43069	167.51732	68.5357	225.43069	167.51732	68.5357	375.84072	305.64967	99.57615	360.7849	305.64967	99.57615	225.43069	183.20513	68.5357	225.43069	167.51732	68.5357	363.56304	288.76175	99.57615	335.31305	288.76175	99.57615	24.054329996661	23.8997834919355	23.7470675448029	23.7222352679772	23.7432435831093	3462.72379735602	8.14981078302232	3799.63251407587	8.24265963421593	7869	7.71193186651233	0.174873738469667
2001	Urachikottai	244.052602400086	726.562013924556	370.896507117	322.408129847	450.63187574	372.21134174	19	4	7	2	7	2	12	3	11	3	194.63799	109.07406	27.13793	71.59278	43.33475	0	71.59278	43.33475	0	105.23457	63.74367	0	92.42572	63.74367	0	83.23932	58.78393	0	71.59278	43.33475	0	92.42572	63.74367	0	79.19285	63.74367	0	24.2394947550858	24.1671362069892	24.0160361648746	23.9004740767809	23.8361260808692	3586.3902394513	8.18490147129261	3933.46049402197	8.27727485025171	7949.7	10.9415299006059	0.248107253981994
2002	Urachikottai	190.433506630188	535.85046589064	236.08497293	162.91340025	323.728993334	293.958567824	10	2	3	0	3	0	8	1	8	1	139.6778	80.83153	0	28.2507	0	0	28.2507	0	0	102.05159	57.7009	0	102.05159	57.7009	0	28.2507	0	0	28.2507	0	0	102.05159	25.0023	0	102.05159	25.0023	0	24.4207303736854	24.5376968709677	24.3874127168459	24.3689227407594	24.2373806435932	3321.2684132055	8.10810204111752	3678.500205627	8.21026039527201	7949.7	14.8356687285636	0.336409721736136
2003	Urachikottai	NA	591.7688752059	267.50965956	196.60334562	399.1411040691	320.4456052691	9	1	2	0	1	0	8	1	8	1	100.87662	59.72197	0	0	0	0	0	0	0	100.87662	59.72197	0	100.87662	59.72197	0	11.19562	0	0	0	0	0	89.00214	43.42961	0	75.11664	25.07044	0	24.8367360433738	24.8655637177419	24.3901786236559	24.3273811552419	24.2918606801075	3512.44404894715	8.16406738438976	3879.83737921947	8.26354851916666	7949.7	13.4337920311101	0.304621134492292
2004	Urachikottai	186.528339910488	926.582760772	445.56734782	334.89831592	487.888970502	367.306117702	26	3	12	0	10	0	14	1	11	1	315.49438	192.0593	31.60676	156.42086	74.48364	0	123.41264	55.32659	0	167.02883	86.93335	31.60676	124.6438	68.27632	31.60676	156.42086	90.16669	0	123.41264	55.32659	0	131.2914	86.93335	31.60676	99.09187	51.17266	31.60676	24.1339378092885	23.9412017392473	23.834892874552	23.789127234039	23.7280616883961	3808.65142940355	8.24503044992657	4186.2062975267	8.33955018452611	8062.19	8.70099287545867	0.197301425747362
